localidad,edad,sexo,causa_inicio,causa_persistencia,consume_cigarrillo,consume_basuco,consume_marihuana,consume_alcohol,consume_inhalantes,consume_pepas,consume_cocaina,consume_heroina,causa_inicio_texto,causa_persistencia_texto
Santa Fe,62,Hombre,1.0,6.0,No,No,No,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Conflictos o dificultades familiares
Santa Fe,26,Hombre,9.0,1.0,Sí,Sí,Sí,No,No,No,No,No,Pérdida de redes de apoyo,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,,,,,,,,,,,,,,
Santa Fe,,,,,,,,,,,,,,
Santa Fe,31,Hombre,5.0,1.0,Sí,Sí,Sí,No,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,,,,,,,,,,,,,,
Santa Fe,,,,,,,,,,,,,,
Santa Fe,36,Hombre,1.0,6.0,Sí,Sí,No,Sí,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Conflictos o dificultades familiares
Santa Fe,54,Hombre,12.0,5.0,No,No,No,No,No,No,No,No,Otra,Falta de trabajo
Santa Fe,,,,,,,,,,,,,,
Santa Fe,29,Hombre,8.0,1.0,Sí,Sí,Sí,Sí,No,No,No,No,Por decisión propia,Consumo de sustancias psicoactivas
Santa Fe,55,Hombre,11.0,2.0,No,No,No,No,No,No,No,No,Por ser víctima o desplazado del conflicto armado,Por decisión propia
Santa Fe,45,Hombre,1.0,2.0,No,No,Sí,Sí,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Por decisión propia
Santa Fe,47,Hombre,1.0,2.0,Sí,No,Sí,Sí,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Por decisión propia
Santa Fe,27,Mujer,7.0,5.0,Sí,Sí,Sí,Sí,No,No,No,No,Abuso sexual,Falta de trabajo
Santa Fe,32,Hombre,1.0,6.0,Sí,Sí,Sí,Sí,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Conflictos o dificultades familiares
Santa Fe,38,Hombre,1.0,6.0,Sí,Sí,No,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Conflictos o dificultades familiares
Santa Fe,,,,,,,,,,,,,,
Santa Fe,,,,,,,,,,,,,,
Santa Fe,44,Hombre,1.0,6.0,Sí,Sí,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Conflictos o dificultades familiares
Santa Fe,59,Hombre,1.0,2.0,No,No,No,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Por decisión propia
Santa Fe,36,Hombre,1.0,1.0,No,Sí,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,33,Hombre,1.0,1.0,No,Sí,No,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,26,Hombre,5.0,1.0,Sí,Sí,Sí,Sí,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,29,Hombre,1.0,1.0,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,56,Hombre,3.0,5.0,No,Sí,Sí,Sí,No,No,No,No,Pérdida de fuente de ingresos suya o de su hogar,Falta de trabajo
Santa Fe,32,Hombre,5.0,1.0,Sí,Sí,Sí,No,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
La Candelaria,60,Hombre,3.0,5.0,No,No,No,Sí,No,No,No,No,Pérdida de fuente de ingresos suya o de su hogar,Falta de trabajo
Santa Fe,74,Hombre,12.0,5.0,No,No,No,No,No,No,No,No,Otra,Falta de trabajo
Santa Fe,,,,,,,,,,,,,,
